incident_id,disaster_type,incident_type,people_affected,people_trapped,injured_people,missing_people,children_affected,elderly_affected,water_level_m,flooded_area_percent,road_status,house_damage,evacuation_route_available,power_available,communication_available,medical_required,medical_severity,ambulance_required,latitude,longitude,nearest_hospital_km,nearest_shelter_km,nearest_rescue_team_km,population_density,priority
UKD-003893,Cloudburst,Flooded Road,24,0,2,1,6,1,1.61,36.61,Partially Blocked,None,1,1,1,1,Low,0,30.290558,78.935141,4.61,2.11,12.03,418,P2
UKD-005847,Earthquake,Damaged House,6,0,0,0,0,1,0.03,0.61,Open,Moderate,1,1,1,0,None,0,29.618268,80.09904,7.04,6.45,9.85,627,P3
UKD-003878,Flood,Damaged House,11,3,0,0,1,2,2.33,55.08,Partially Blocked,Minor,1,1,1,0,None,0,29.020124,79.508045,4.21,3.17,3.8,2382,P2
UKD-002743,Flood,Missing Person,51,6,2,8,3,6,1.11,37.75,Open,Minor,1,1,1,1,Low,0,29.966044,78.131403,2.48,8.96,2.11,975,P2
UKD-005607,Cloudburst,Damaged House,1,0,0,0,1,0,0.41,7.23,Open,None,1,1,1,0,None,0,30.33031,77.99887,2.76,2.33,2.23,1292,P3
UKD-004281,Flood,Flooded Road,9,3,1,1,2,0,2.38,52.79,Blocked,Moderate,0,1,0,1,Low,0,30.015094,78.229902,8.85,3.64,7.12,3766,P3
UKD-001329,Earthquake,Damaged House,200,65,3,1,5,5,0.17,2.49,Blocked,Severe,0,0,0,1,Moderate,1,29.82788,78.188785,16.2,12.3,3.96,3555,P1
UKD-002875,Cloudburst,Evacuation Request,32,2,1,1,4,2,1.11,19.11,Open,None,1,1,0,1,Low,0,30.47894,78.522767,10.81,4.47,17.04,92,P2
UKD-004631,Flood,Damaged House,57,18,1,0,5,5,2.45,46.32,Partially Blocked,Moderate,1,1,1,1,Moderate,1,28.900931,79.514311,10.06,4.0,8.04,479,P3
UKD-000777,Flood,Flooded Road,17,5,1,0,7,1,2.81,71.35,Blocked,Moderate,0,1,1,1,Low,0,30.266353,78.001681,3.22,1.99,8.61,1315,P1
UKD-005677,Landslide,Trapped People,17,12,0,0,2,2,0.26,4.46,Partially Blocked,Minor,0,1,1,1,Low,0,30.136241,78.76807,9.81,2.8,11.62,639,P3
UKD-000184,Flood,Flooded Road,113,27,5,2,12,3,5.0,94.26,Blocked,Severe,0,0,0,1,Moderate,1,29.671402,79.872122,11.33,20.0,17.36,122,P1
UKD-003130,Flood,Trapped People,23,14,1,2,5,5,2.03,62.86,Blocked,Minor,1,0,0,1,Low,0,30.256472,78.947802,3.98,7.88,9.81,463,P2
UKD-004099,Earthquake,Infrastructure Damage,10,2,0,0,0,4,0.04,1.14,Partially Blocked,Moderate,1,1,1,0,None,0,30.180377,78.751615,10.2,5.3,10.5,952,P3
UKD-001194,Landslide,Infrastructure Damage,59,35,5,0,10,4,1.03,13.32,Blocked,Moderate,0,0,1,1,Moderate,1,30.439052,78.533087,18.76,15.46,16.19,397,P1
UKD-003649,Landslide,Infrastructure Damage,88,36,1,2,9,5,0.42,7.53,Partially Blocked,Moderate,0,1,0,1,Low,1,28.821167,79.506746,2.37,1.26,4.91,2729,P2
UKD-000735,Earthquake,Damaged House,3,0,0,0,0,0,0.1,2.27,Partially Blocked,Minor,0,1,1,0,None,0,30.124764,78.768864,16.25,8.79,5.33,862,P1
UKD-001836,Cloudburst,Flooded Road,55,12,5,5,10,6,3.11,83.88,Open,Moderate,0,1,0,1,Critical,1,30.645118,78.255703,20.53,4.52,7.71,502,P1
UKD-002273,Landslide,Damaged House,2,1,0,0,0,0,0.26,4.02,Blocked,None,1,1,1,0,None,0,29.999821,78.761181,3.97,2.0,6.88,873,P2
UKD-003794,Earthquake,Damaged House,4,0,0,0,0,1,0.06,1.47,Open,Minor,1,1,1,1,Low,0,29.242747,80.053426,8.28,7.6,23.18,1225,P2
UKD-000486,Landslide,Evacuation Request,58,26,5,2,3,7,0.51,8.26,Blocked,Minor,0,1,1,0,None,0,29.64756,79.669038,8.03,2.57,18.86,806,P1
UKD-001164,Cloudburst,Infrastructure Damage,39,25,3,2,10,4,2.6,46.93,Blocked,Severe,0,0,0,1,Low,0,30.473676,78.515047,30.0,9.9,19.99,219,P1
UKD-000453,Flood,Infrastructure Damage,69,47,3,7,4,10,4.25,86.19,Blocked,Minor,0,1,0,1,Critical,1,30.313396,78.039272,5.69,5.32,2.25,2574,P1
UKD-002299,Landslide,Injured Person,19,12,6,0,7,1,0.52,16.08,Blocked,Moderate,0,0,1,1,Critical,1,29.548414,79.657611,6.33,4.68,10.84,1408,P2
UKD-004595,Landslide,Missing Person,9,1,0,1,1,0,0.17,3.67,Open,None,0,1,0,0,None,0,30.419643,78.150619,1.54,1.25,5.02,2420,P3
UKD-000031,Earthquake,Missing Person,28,21,2,10,2,2,0.14,3.47,Blocked,Severe,0,1,1,1,Moderate,0,30.294366,78.057775,2.63,0.88,0.5,2681,P1
UKD-000790,Flood,Flooded Road,83,16,0,3,14,3,2.75,56.41,Partially Blocked,Minor,0,1,0,1,Moderate,1,28.956483,79.495558,4.11,3.44,7.07,1101,P1
UKD-005099,Flood,Flooded Road,27,4,2,0,8,0,2.1,44.67,Partially Blocked,Minor,0,1,1,0,None,0,30.249878,78.060632,1.63,7.04,6.15,1630,P3
UKD-001966,Cloudburst,Infrastructure Damage,42,15,2,2,14,2,1.9,37.38,Partially Blocked,Minor,1,1,1,0,None,0,29.50295,79.429157,3.31,6.78,2.68,766,P1
UKD-001110,Flood,Trapped People,39,29,2,3,3,3,2.89,49.4,Blocked,None,0,1,0,1,Critical,1,28.893224,79.574905,13.81,2.23,0.65,2432,P1
UKD-000101,Flood,Evacuation Request,145,43,2,0,12,4,3.01,59.08,Open,Minor,0,0,1,1,Moderate,1,29.007608,79.516276,1.97,2.37,3.4,3207,P1
UKD-003971,Landslide,Damaged House,18,10,1,0,2,5,0.27,9.24,Partially Blocked,Minor,0,1,0,1,Low,1,30.402718,77.914591,8.12,2.34,3.28,2548,P2
UKD-003013,Landslide,Damaged House,200,49,4,2,18,7,0.93,13.0,Partially Blocked,Severe,0,0,0,1,Moderate,0,30.30828,78.033547,1.45,2.97,1.24,2461,P2
UKD-003168,Landslide,Flooded Road,51,5,1,2,7,5,1.22,19.82,Blocked,Moderate,1,1,0,1,Low,0,29.380067,80.150095,11.56,1.5,6.56,638,P2
UKD-004725,Cloudburst,Waterlogging,14,3,1,0,7,0,1.14,24.35,Blocked,None,0,0,1,1,Low,0,30.199324,78.862926,8.63,3.46,10.38,579,P3
UKD-001771,Cloudburst,Trapped People,147,78,3,4,10,2,3.4,67.8,Blocked,Minor,0,0,0,1,Critical,1,30.27217,78.050951,4.6,1.38,4.25,1006,P1
UKD-001920,Earthquake,Injured Person,121,33,8,3,7,6,0.17,3.04,Partially Blocked,Severe,1,0,0,1,Critical,1,30.250905,78.081419,8.05,8.84,2.66,2891,P1
UKD-003756,Flood,Trapped People,17,10,0,2,1,2,1.81,36.09,Partially Blocked,Minor,0,1,1,1,Low,0,28.973669,79.472035,10.78,2.48,0.67,2356,P2
UKD-004542,Flood,Damaged House,53,3,1,3,7,2,1.36,39.33,Open,Severe,1,1,0,0,None,0,30.032651,78.20244,3.68,1.28,3.66,2347,P3
UKD-000862,Cloudburst,Trapped People,76,63,4,2,14,9,2.82,53.02,Blocked,Severe,0,0,0,1,Critical,1,29.295857,79.423345,3.66,3.57,1.96,478,P1
UKD-001502,Landslide,Infrastructure Damage,82,47,2,3,11,8,0.73,12.39,Blocked,Moderate,0,1,0,0,None,0,29.887968,78.046849,10.12,3.37,6.88,3012,P1
UKD-000904,Cloudburst,Evacuation Request,153,45,7,1,10,10,2.51,40.37,Partially Blocked,Severe,0,0,0,1,Critical,1,29.432753,79.699864,6.7,4.39,4.63,1339,P1
UKD-005056,Cloudburst,Damaged House,25,7,1,5,2,4,1.47,29.35,Open,Moderate,0,1,0,1,Low,0,29.985525,78.304091,2.07,1.1,6.89,3189,P3
UKD-000110,Landslide,Trapped People,57,47,1,3,9,6,0.87,10.93,Blocked,Moderate,0,0,1,1,Low,0,28.872013,79.439611,2.76,2.84,9.29,2326,P1
UKD-005369,Landslide,Evacuation Request,188,49,2,2,8,8,0.51,13.56,Partially Blocked,Moderate,0,1,1,0,None,0,30.601384,78.497253,6.97,11.07,16.43,292,P3
UKD-005873,Cloudburst,Damaged House,59,16,4,3,8,5,1.69,42.45,Partially Blocked,Severe,1,0,1,1,Moderate,1,29.041163,79.632496,7.61,2.91,4.77,7056,P3
UKD-005035,Earthquake,Damaged House,15,0,1,0,2,2,0.04,0.94,Open,Moderate,1,1,1,1,Moderate,0,30.298312,78.028883,4.08,6.49,4.6,907,P3
UKD-004398,Flood,Waterlogging,34,9,3,0,2,9,3.04,64.78,Partially Blocked,Severe,0,0,1,1,Moderate,0,28.991922,79.463694,3.73,2.09,4.58,1861,P3
UKD-001927,Flood,Infrastructure Damage,40,28,3,1,6,7,3.27,60.89,Blocked,Minor,0,0,1,1,Critical,1,30.352251,78.070547,2.08,1.48,11.68,930,P1
UKD-002134,Landslide,Infrastructure Damage,96,38,3,4,9,4,0.62,11.14,Blocked,Moderate,1,1,0,1,Moderate,1,30.475483,78.697753,12.57,9.89,4.34,217,P2
UKD-003526,Flood,Waterlogging,21,3,3,2,7,3,3.63,74.24,Partially Blocked,Severe,1,1,1,1,Moderate,1,28.894602,79.411044,0.85,2.61,6.93,4171,P2
UKD-005862,Landslide,Infrastructure Damage,23,1,1,0,3,4,0.29,4.54,Open,None,1,1,0,1,Critical,1,30.029292,78.068374,1.51,4.12,2.18,2788,P3
UKD-004651,Landslide,Missing Person,15,5,0,3,2,4,0.43,9.1,Blocked,None,1,1,1,1,Low,1,30.55636,78.259246,14.72,3.15,5.59,190,P3
UKD-003672,Cloudburst,Damaged House,157,38,6,3,9,6,2.0,41.6,Blocked,Severe,1,0,1,1,Moderate,1,29.862208,78.143341,7.13,3.17,0.6,3417,P2
UKD-004394,Landslide,Injured Person,7,0,2,0,3,0,0.25,3.7,Open,None,1,1,1,1,Low,0,30.627228,78.422799,11.86,20.0,21.06,226,P3
UKD-003046,Earthquake,Infrastructure Damage,105,42,2,0,12,7,0.11,1.68,Partially Blocked,Severe,0,0,1,1,Moderate,1,29.639093,79.609001,14.94,4.98,3.66,977,P2
UKD-005547,Flood,Evacuation Request,12,0,1,0,3,1,0.94,16.59,Open,None,1,1,1,1,Low,0,30.39421,78.089775,5.29,2.58,0.5,1715,P3
UKD-005161,Flood,Flooded Road,29,1,4,1,6,3,2.68,48.62,Open,Severe,1,1,1,1,Low,0,29.381727,80.067638,15.31,20.0,13.89,311,P3
UKD-005639,Flood,Waterlogging,5,0,0,0,1,1,0.89,26.02,Open,None,1,0,1,0,None,0,28.903965,79.631695,5.94,1.31,0.76,1539,P3
UKD-003887,Earthquake,Evacuation Request,76,36,3,0,9,7,0.15,2.05,Partially Blocked,Moderate,0,0,1,1,Critical,1,30.210655,78.847555,4.12,14.64,2.02,256,P2
UKD-001095,Flood,Injured Person,88,45,10,0,15,2,2.97,69.55,Partially Blocked,Moderate,0,1,1,1,Moderate,0,30.660736,78.430533,10.46,20.0,3.12,257,P1
UKD-001122,Earthquake,Damaged House,46,28,4,4,6,2,0.13,3.82,Blocked,Moderate,0,1,1,1,Low,0,30.481528,77.914929,2.92,3.58,1.33,824,P1
UKD-002517,Landslide,Flooded Road,49,9,1,3,11,8,0.78,19.03,Blocked,Moderate,0,1,0,0,None,0,30.33051,79.3868,18.85,13.97,14.71,122,P2
UKD-002211,Flood,Missing Person,41,7,5,6,3,3,2.07,49.38,Open,None,1,1,1,1,Low,0,29.113966,79.515633,11.44,8.05,2.9,3393,P2
UKD-000810,Cloudburst,Injured Person,94,35,9,2,17,5,2.43,44.59,Partially Blocked,Severe,1,1,1,1,Critical,1,30.374676,78.01257,8.96,2.02,5.74,2204,P1
UKD-004253,Earthquake,Injured Person,10,2,2,1,1,4,0.06,1.2,Open,Moderate,0,0,1,1,Moderate,1,29.890222,78.102457,3.9,4.54,2.85,810,P3
UKD-003275,Landslide,Trapped People,45,29,1,1,14,4,0.4,8.56,Partially Blocked,Moderate,0,1,1,1,Moderate,1,29.46013,79.333595,11.45,6.3,2.19,522,P2
UKD-005908,Landslide,Damaged House,24,7,1,1,6,1,0.48,6.97,Open,Moderate,0,1,1,1,Low,0,30.368781,78.576507,6.0,7.05,9.8,707,P3
UKD-004344,Landslide,Damaged House,6,3,0,0,1,0,0.14,2.04,Partially Blocked,Minor,1,1,1,0,None,0,30.299632,78.08955,13.86,2.46,6.79,1713,P3
UKD-005846,Cloudburst,Trapped People,67,43,5,2,12,12,2.85,47.42,Open,Moderate,0,1,0,1,Critical,1,30.17818,78.720872,11.03,1.8,4.31,361,P3
UKD-005504,Cloudburst,Evacuation Request,26,0,0,0,4,6,0.61,10.64,Open,None,1,1,1,0,None,0,29.352571,79.497805,10.82,3.38,2.67,1175,P3
UKD-005654,Cloudburst,Injured Person,9,1,2,1,3,3,0.83,20.37,Partially Blocked,Moderate,0,0,1,0,None,0,29.983401,78.039623,6.64,1.87,1.19,1968,P3
UKD-003945,Earthquake,Damaged House,38,3,2,3,9,6,0.09,2.01,Open,Moderate,1,1,0,0,None,0,30.196263,78.831151,27.64,3.59,6.13,756,P2
UKD-005040,Earthquake,Damaged House,19,5,0,0,2,2,0.04,0.78,Open,Moderate,0,0,0,0,None,0,30.441578,78.885662,4.96,4.43,19.42,119,P3
UKD-002544,Cloudburst,Waterlogging,48,7,1,2,6,3,1.85,43.79,Partially Blocked,Moderate,0,1,1,1,Low,0,29.571952,80.197581,28.69,8.62,26.61,89,P2
UKD-001774,Earthquake,Trapped People,145,53,6,3,13,9,0.2,4.02,Partially Blocked,Severe,1,0,1,1,Critical,1,30.336875,78.099373,4.7,5.03,6.38,3543,P1
UKD-002847,Landslide,Injured Person,18,8,1,4,3,3,0.35,10.21,Blocked,Minor,0,1,0,1,Moderate,0,28.879493,79.621846,5.25,0.54,2.35,555,P2
UKD-005800,Flood,Waterlogging,4,0,0,0,2,1,1.08,23.86,Partially Blocked,Minor,1,0,1,0,None,0,30.02495,78.128706,9.32,5.26,3.69,2241,P3
UKD-001766,Earthquake,Evacuation Request,126,43,5,0,9,6,0.15,2.93,Partially Blocked,Severe,0,0,1,1,Moderate,1,30.228607,78.172376,3.28,4.64,1.66,1954,P1
UKD-003898,Flood,Trapped People,30,21,2,6,1,8,2.58,42.51,Blocked,Moderate,0,0,1,1,Critical,1,30.430993,78.011606,7.46,4.57,0.65,5598,P2
UKD-005629,Flood,Damaged House,68,26,5,4,8,3,2.38,39.32,Partially Blocked,Severe,1,0,0,1,Critical,1,29.971034,78.123214,2.4,0.68,3.24,1369,P3
UKD-001757,Flood,Flooded Road,33,9,2,2,8,1,3.3,72.03,Blocked,Minor,0,0,0,1,Moderate,1,30.274959,77.9861,0.88,2.99,8.59,1821,P1
UKD-002347,Earthquake,Trapped People,44,28,1,0,11,5,0.06,1.61,Open,Minor,0,1,1,1,Low,1,29.829114,78.229297,12.67,2.15,3.91,4583,P2
UKD-002997,Landslide,Damaged House,20,10,4,0,5,3,0.55,9.07,Blocked,Minor,0,0,1,1,Moderate,0,29.945768,78.161493,12.74,4.69,2.19,529,P2
UKD-001596,Cloudburst,Missing Person,118,64,1,10,10,3,2.12,44.96,Blocked,Moderate,0,0,0,1,Low,0,30.0264,78.753465,16.56,13.32,7.86,587,P1
UKD-005967,Landslide,Infrastructure Damage,23,7,1,0,3,3,0.29,5.44,Partially Blocked,Minor,0,1,1,1,Moderate,1,29.525552,79.842217,3.74,16.3,8.94,1821,P3
UKD-003253,Landslide,Trapped People,38,21,1,2,8,10,0.67,13.71,Blocked,Moderate,1,0,1,1,Low,0,30.239781,78.406674,12.19,20.0,27.28,138,P2
UKD-000830,Flood,Injured Person,99,57,7,1,6,3,4.31,85.41,Partially Blocked,Severe,0,0,1,1,Moderate,1,29.363372,79.398714,1.5,11.88,15.17,1352,P1
UKD-005865,Cloudburst,Trapped People,18,9,0,0,5,1,0.6,11.23,Blocked,Moderate,1,0,1,0,None,0,29.054341,79.516038,1.89,0.93,9.64,3022,P3
UKD-001859,Flood,Waterlogging,46,9,0,3,10,5,4.35,75.23,Blocked,None,0,0,1,1,Moderate,1,28.945059,79.496414,11.91,2.74,4.93,2454,P1
UKD-000439,Earthquake,Trapped People,96,69,1,2,13,9,0.16,2.3,Partially Blocked,Moderate,0,1,1,1,Moderate,1,29.434246,79.504512,11.13,6.1,5.26,624,P1
UKD-000628,Landslide,Damaged House,6,1,1,0,1,1,0.43,7.72,Blocked,Moderate,1,1,1,1,Critical,1,30.615851,78.528214,13.5,9.67,9.46,258,P1
UKD-005979,Flood,Waterlogging,51,9,2,2,12,3,2.99,87.95,Blocked,Severe,1,1,1,1,Low,0,30.663632,78.462206,25.39,15.2,15.42,189,P3
UKD-002880,Landslide,Damaged House,63,38,2,4,4,8,0.47,9.63,Blocked,Moderate,0,1,0,1,Low,0,29.995433,78.266441,19.63,8.83,11.3,4467,P2
UKD-000926,Flood,Evacuation Request,31,10,1,0,3,3,1.84,41.43,Partially Blocked,Minor,0,1,0,1,Moderate,0,30.249268,79.170528,14.98,12.11,7.36,121,P1
UKD-004122,Earthquake,Missing Person,43,8,4,5,12,5,0.07,1.2,Open,Severe,1,1,1,0,None,0,30.35574,78.01369,2.75,2.79,4.26,313,P3
UKD-004875,Cloudburst,Infrastructure Damage,200,48,0,5,6,6,3.81,59.08,Partially Blocked,Minor,0,1,0,0,None,0,29.997914,78.235662,8.92,4.27,11.53,3727,P3
UKD-005737,Landslide,Evacuation Request,64,12,4,2,7,8,0.33,9.52,Partially Blocked,Moderate,1,1,0,1,Low,0,30.22602,78.014707,1.43,1.33,2.8,1070,P3
UKD-002866,Landslide,Missing Person,44,16,1,7,11,5,0.35,6.82,Partially Blocked,Minor,0,1,0,1,Low,1,30.287711,78.88283,14.29,7.69,6.56,135,P2
UKD-005952,Landslide,Infrastructure Damage,8,5,0,0,0,1,0.19,4.62,Blocked,Moderate,0,1,1,0,None,0,30.602147,78.439846,12.01,7.42,13.93,212,P3
UKD-001174,Landslide,Infrastructure Damage,30,6,1,0,5,7,0.33,5.54,Partially Blocked,Minor,0,1,1,1,Low,0,30.286584,77.968845,3.03,4.57,2.41,1789,P1
UKD-003361,Flood,Evacuation Request,50,19,2,3,13,9,2.28,29.36,Blocked,Minor,1,1,1,1,Low,0,30.330013,77.959677,2.04,2.02,3.9,2326,P2
UKD-003198,Earthquake,Evacuation Request,104,41,3,0,13,7,0.12,2.54,Blocked,Moderate,1,0,0,1,Critical,1,29.327647,79.358698,3.77,2.12,9.15,751,P2
UKD-000945,Earthquake,Injured Person,74,40,11,1,10,1,0.12,2.44,Blocked,None,0,0,1,1,Moderate,1,30.214695,78.49887,26.61,6.03,16.84,60,P1
UKD-004770,Flood,Infrastructure Damage,72,43,0,2,15,10,2.55,70.69,Blocked,None,0,0,1,1,Moderate,1,29.978019,78.18454,7.14,1.32,9.73,812,P3
UKD-002289,Flood,Flooded Road,37,4,2,1,8,2,2.14,41.33,Partially Blocked,Minor,1,1,1,1,Moderate,0,28.970066,79.406801,2.06,2.45,5.01,1026,P2
UKD-000013,Cloudburst,Flooded Road,127,34,0,1,7,5,3.21,82.86,Blocked,Minor,0,0,1,1,Moderate,1,30.190442,78.750752,14.93,1.59,5.79,1298,P1
UKD-001118,Flood,Missing Person,62,33,2,8,8,4,3.84,70.44,Partially Blocked,Moderate,0,1,1,1,Critical,1,29.392261,79.513711,8.09,5.55,4.12,389,P1
UKD-004366,Landslide,Infrastructure Damage,24,7,0,2,4,1,0.24,5.64,Partially Blocked,Minor,1,1,0,0,None,0,29.501539,80.28646,10.57,4.72,2.94,360,P3
UKD-003656,Flood,Evacuation Request,8,0,0,0,2,0,1.26,23.53,Open,None,1,1,1,0,None,0,29.874466,78.125469,0.82,6.21,3.14,592,P2
UKD-005696,Landslide,Infrastructure Damage,3,2,0,0,0,0,0.31,5.59,Partially Blocked,Minor,0,1,1,0,None,0,30.254058,78.015438,3.44,3.56,8.37,1244,P3
UKD-000643,Flood,Missing Person,23,18,5,4,7,4,3.85,55.16,Blocked,None,0,0,0,1,Moderate,1,29.875468,78.184123,4.45,2.08,3.84,1891,P1
UKD-002590,Cloudburst,Trapped People,53,44,2,4,12,3,2.86,48.78,Blocked,Moderate,0,0,0,1,Low,0,30.317923,78.100458,3.04,0.79,8.08,2255,P2
UKD-004708,Flood,Flooded Road,16,0,0,0,6,2,1.87,34.39,Partially Blocked,None,1,0,1,0,None,0,29.024702,79.556084,4.19,2.28,2.83,2380,P3
UKD-002679,Cloudburst,Infrastructure Damage,4,0,0,1,1,1,0.88,16.23,Blocked,None,1,1,1,0,None,0,30.475216,78.482334,13.02,20.0,9.49,382,P2
UKD-004293,Earthquake,Infrastructure Damage,19,11,1,2,3,0,0.14,2.27,Blocked,Moderate,0,1,0,1,Moderate,1,30.270309,78.056943,8.19,1.32,1.19,1244,P3
UKD-005080,Landslide,Trapped People,9,8,0,2,1,0,0.49,9.21,Blocked,Moderate,0,0,1,0,None,0,29.379202,79.45598,15.64,4.08,15.0,402,P3
UKD-005488,Cloudburst,Injured Person,33,1,6,1,9,2,1.9,34.41,Open,Minor,1,0,1,1,Moderate,1,30.492947,79.341664,14.54,2.41,8.11,576,P3
UKD-002923,Cloudburst,Trapped People,107,84,3,1,10,2,2.42,56.17,Blocked,Moderate,0,0,1,0,None,0,28.909616,79.517681,5.01,2.4,9.76,1073,P2
UKD-002536,Flood,Waterlogging,7,3,0,0,1,2,1.74,36.34,Partially Blocked,Moderate,1,1,1,1,Moderate,1,29.577612,79.58632,9.11,8.53,4.42,758,P2
UKD-004766,Landslide,Injured Person,2,0,1,0,2,0,0.2,6.58,Partially Blocked,None,1,1,0,0,None,0,30.20366,78.066733,1.56,3.36,2.31,1199,P3
UKD-002265,Flood,Missing Person,55,39,3,10,11,7,2.47,49.99,Blocked,Minor,0,0,0,1,Critical,1,30.39044,78.890311,11.92,20.0,8.42,50,P2
UKD-000654,Landslide,Trapped People,200,83,6,4,8,3,0.65,20.79,Blocked,Minor,0,1,0,1,Critical,1,30.54253,79.514581,5.57,14.37,17.53,300,P1
UKD-000430,Flood,Injured Person,45,25,11,1,15,7,2.59,75.63,Blocked,Minor,0,1,0,1,Moderate,1,30.322133,78.041917,11.8,7.22,3.69,1495,P1
UKD-003751,Earthquake,Damaged House,111,49,5,4,13,8,0.12,2.1,Partially Blocked,Severe,0,0,1,1,Low,0,29.902634,78.13449,6.67,9.16,0.93,3395,P2
UKD-003316,Cloudburst,Missing Person,28,18,4,5,3,1,3.32,42.44,Blocked,Minor,0,0,0,1,Low,1,30.171121,78.827861,5.78,18.42,5.01,103,P2
UKD-002518,Landslide,Evacuation Request,54,26,2,3,10,8,0.53,9.05,Blocked,Severe,0,0,1,0,None,0,29.393634,79.503142,9.97,4.05,4.49,1717,P2
UKD-004012,Landslide,Infrastructure Damage,60,10,2,5,6,5,0.28,7.18,Partially Blocked,Minor,1,1,0,1,Low,0,29.49783,79.81391,10.94,3.23,5.56,1628,P3
UKD-003163,Landslide,Infrastructure Damage,27,12,2,1,4,7,0.48,8.56,Blocked,Minor,1,0,1,0,None,0,30.365139,79.397429,11.42,8.55,11.13,172,P2
UKD-003606,Earthquake,Evacuation Request,128,39,1,1,5,6,0.09,2.23,Open,Minor,0,1,0,0,None,0,29.014595,79.488387,1.4,7.04,3.7,1381,P2
UKD-000839,Landslide,Infrastructure Damage,136,68,5,4,8,10,0.93,12.35,Blocked,Severe,0,0,1,1,Moderate,1,30.515529,78.077027,2.61,6.27,2.34,2559,P1
UKD-001088,Flood,Damaged House,30,10,3,2,4,2,3.3,62.48,Partially Blocked,Severe,1,0,1,1,Critical,1,29.892805,78.115587,8.86,2.37,3.57,5697,P1
UKD-001729,Landslide,Injured Person,78,41,9,1,13,9,0.71,13.47,Blocked,Moderate,0,0,1,1,Critical,1,28.897182,79.418462,4.13,4.12,1.33,1721,P1
UKD-005808,Landslide,Evacuation Request,24,5,1,0,6,1,0.11,2.67,Partially Blocked,None,1,1,0,1,Low,0,28.941472,79.540283,6.26,2.59,6.58,2462,P3
UKD-001320,Flood,Injured Person,67,36,6,3,8,9,3.6,76.89,Blocked,Severe,1,0,1,1,Moderate,1,30.40865,79.179541,13.41,7.12,9.07,152,P1
UKD-001331,Cloudburst,Flooded Road,13,0,0,0,5,2,1.09,31.33,Partially Blocked,Minor,1,1,1,0,None,0,30.442395,78.272894,7.85,1.7,11.84,451,P1
UKD-004155,Landslide,Damaged House,2,0,0,0,1,0,0.21,3.27,Open,Moderate,1,0,1,0,None,0,29.331496,79.538526,8.46,1.68,8.72,582,P3
UKD-000857,Flood,Flooded Road,7,0,0,0,3,0,1.13,25.96,Blocked,None,0,0,0,0,None,0,30.255694,78.074369,2.48,6.4,3.61,799,P1
UKD-001420,Earthquake,Injured Person,21,5,6,2,3,2,0.13,2.23,Partially Blocked,Severe,0,0,1,1,Low,0,30.322433,78.142435,5.47,0.85,5.7,5721,P1
UKD-002516,Cloudburst,Damaged House,54,4,1,0,12,6,1.06,30.24,Open,Moderate,1,1,1,1,Low,0,30.292039,77.859184,9.34,1.95,4.71,6518,P2
UKD-002300,Flood,Infrastructure Damage,41,14,1,1,4,9,2.3,35.92,Partially Blocked,Moderate,0,0,0,1,Low,1,30.349932,78.007478,1.8,2.89,13.19,1126,P2
UKD-003537,Flood,Flooded Road,34,6,1,1,11,6,2.04,43.6,Partially Blocked,Moderate,1,0,1,1,Low,0,30.319857,78.036869,1.27,1.06,3.22,1113,P2
UKD-001609,Flood,Missing Person,42,20,2,6,5,6,2.69,52.11,Blocked,Minor,1,1,1,1,Moderate,1,30.000832,78.286923,6.93,1.49,6.86,789,P1
UKD-005199,Cloudburst,Flooded Road,5,0,0,0,1,0,0.79,29.56,Partially Blocked,None,1,0,1,0,None,0,30.329339,78.041973,3.66,7.06,5.72,521,P3
UKD-000694,Cloudburst,Trapped People,80,52,2,0,6,12,2.97,64.4,Partially Blocked,Moderate,0,0,0,1,Low,0,29.415724,79.435171,18.25,9.92,9.68,1560,P1
UKD-004141,Flood,Damaged House,17,8,1,1,3,1,2.39,49.44,Blocked,Minor,1,1,1,1,Low,0,30.348943,78.091604,1.97,2.86,6.01,1199,P3
UKD-002667,Cloudburst,Damaged House,200,43,1,2,8,8,2.17,36.72,Blocked,Moderate,1,1,1,0,None,0,30.420124,78.037309,3.45,3.68,5.36,540,P2
UKD-000189,Landslide,Infrastructure Damage,8,6,3,0,2,1,0.61,10.81,Blocked,Severe,0,0,1,1,Low,1,29.35795,79.381891,9.05,8.17,12.94,292,P1
UKD-000288,Earthquake,Damaged House,38,20,3,4,10,6,0.14,2.78,Blocked,Severe,1,0,0,1,Low,1,30.117557,78.744455,7.44,1.57,9.21,337,P1
UKD-003411,Flood,Waterlogging,7,1,1,0,3,0,2.61,53.21,Open,Moderate,1,1,0,0,None,0,30.65656,78.692918,11.7,2.48,7.77,370,P2
UKD-005537,Cloudburst,Missing Person,55,7,4,14,9,3,1.54,26.63,Open,Minor,1,0,0,0,None,0,29.969177,78.215171,3.73,2.6,5.62,3809,P3
UKD-004206,Earthquake,Trapped People,41,30,2,0,8,6,0.1,1.56,Blocked,Moderate,0,1,1,1,Low,0,30.211959,79.559453,25.08,15.24,30.0,332,P3
UKD-003967,Cloudburst,Flooded Road,49,6,1,2,11,3,2.48,57.58,Partially Blocked,Moderate,0,0,1,1,Low,1,30.331103,79.033485,19.9,20.0,29.95,153,P2
